28,18,32,30,25,'2016-03-09', '00:55:27', '1360', '768', '5', '643', '37', '1IN, '20.0', '77.0\n'
17,17,28,25,13,'2016-03-09', '01:43:15', '1366', '768', '14', '332', '16', '1IN, '23.9167', '87.5333\n'
17,32,24,26,34,'2016-03-09', '02:27:53', '360', '640', '18', '209', '19', '2IN, '18.975', '72.8258\n'
14,40,16,25,37,'2016-03-09', '02:32:51', '360', '640', '2', '158', '3', '2IN, '18.975', '72.8258\n'
13,3,38,22,33,'2016-03-09', '04:04:36', '1366', '768', '82', '308', '22', '1IN, '20.0', '77.0\n'
28,28,35,32,36,'2016-03-09', '06:00:25', '414', '736', '655', '649', '15', '2IN, '17.3753', '78.4744\n'
25,40,20,20,15,'2016-03-09', '06:14:24', '414', '736', '6', '60', '5', '2IN, '17.3753', '78.4744\n'
12,19,37,32,35,'2016-03-09', '06:24:21', '1280', '720', '181', '275', '16', '1IN, '18.5333', '73.8667\n'
27,26,42,45,42,'2016-03-09', '07:13:32', '1366', '768', '9', '373', '8', '2IN, '20.0', '77.0\n'
43,40,23,24,20,'2016-03-09', '07:26:02', '1366', '768', '3', '130', '6', '2IN, '20.0', '77.0\n'
17,23,38,30,37,'2016-03-09', '08:13:48', '360', '640', '17', '390', '21', '1IN, '20.0', '77.0\n'
29,11,27,23,33,'2016-03-09', '08:27:57', '1600', '900', '15', '258', '6', '2IN, '20.0', '77.0\n'
28,25,38,34,28,'2016-03-09', '08:28:10', '0', '0', '237', '298', '31', '1IN, '12.9833', '77.5833\n'
25,27,43,33,31,'2016-03-09', '08:55:07', '1366', '768', '130', '872', '30', '16IN, '18.975', '72.8258\n'
35,38,36,34,47,'2016-03-09', '08:56:20', '1366', '768', '5', '194', '12', '1IN, '28.6667', '77.4333\n'
16,36,18,46,19,'2016-03-09', '09:01:53', '360', '640', '8', '423', '16', '1IN, '22.5697', '88.3697\n'
12,6,32,25,42,'2016-03-09', '10:13:52', '1366', '768', '6', '160', '10', '1IN, '28.6', '77.2\n'
21,35,12,40,43,'2016-03-09', '10:30:36', '1366', '768', '69', '271', '19', '2IN, '30.7343', '76.7933\n'
35,18,42,28,40,'2016-03-09', '10:49:09', '360', '640', '46', '308', '20', '1IN, '18.975', '72.8258\n'
32,20,44,22,43,'2016-03-09', '11:03:56', '1920', '1080', '69', '282', '11', '1IN, '25.45', '81.85\n'
18,13,37,29,36,'2016-03-09', '12:07:12', '414', '736', '3', '168', '12', '1IN, '18.975', '72.8258\n'
30,27,32,38,30,'2016-03-09', '13:23:34', '1366', '768', '11', '498', '18', '5IN, '22.1167', '84.0333\n'
33,20,39,24,29,'2016-03-09', '19:44:29', '1360', '768', '3', '209', '18', '1IN, '12.9833', '77.5833\n'
29,12,35,32,35,'2016-03-09', '19:52:31', '1366', '768', '26', '349', '17', '1IN, '20.0', '77.0\n'
18,20,39,32,36,'2016-03-09', '20:09:39', '1366', '768', '140', '490', '18', '1IN, '28.6293', '75.071\n'
29,6,38,35,47,'2016-03-09', '20:52:47', '1024', '768', '6', '245', '21', '1IN, '20.0', '77.0\n'
16,22,44,43,43,'2016-03-09', '21:32:36', '1366', '768', '84', '206', '60', '1IN, '19.15', '72.9333\n'
11,29,40,34,34,'2016-03-09', '21:43:14', '1366', '768', '111', '276', '9', '1IN, '31.3256', '75.5792\n'
29,4,34,40,37,'2016-03-09', '21:55:38', '975', '731', '10', '1272', '14', '1IN, '20.0', '77.0\n'
29,12,38,28,31,'2016-03-09', '22:31:55', '1366', '768', '7', '246', '27', '4IN, '20.0', '77.0\n'
30,7,33,33,41,'2016-03-09', '22:41:19', '1366', '768', '12', '155', '10', '4IN, '20.0', '77.0\n'
7,12,29,24,36,'2016-03-09', '22:46:24', '1280', '1024', '7', '297', '13', '1IN, '22.8', '86.1833\n'
33,16,37,29,30,'2016-03-09', '22:50:07', '1600', '900', '3', '512', '14', '4IN, '20.0', '77.0\n'
25,22,41,25,28,'2016-03-09', '23:00:50', '1366', '768', '3', '201', '16', '1IN, '18.975', '72.8258\n'
27,14,36,22,26,'2016-03-09', '23:03:36', '1366', '768', '12', '375', '25', '4IN, '20.0', '77.0\n'
32,26,34,27,26,'2016-03-10', '00:55:30', '1366', '768', '9', '228', '11', '1IN, '20.0', '77.0\n'
18,24,31,29,26,'2016-03-10', '01:38:34', '1366', '768', '37', '217', '21', '1IN, '28.6', '77.2\n'
35,23,33,28,30,'2016-03-10', '02:57:49', '1366', '768', '5', '249', '18', '2IN, '28.6', '77.2\n'
33,30,36,30,35,'2016-03-10', '03:08:11', '1024', '768', '14', '574', '37', '1IN, '18.975', '72.8258\n'
36,25,31,27,36,'2016-03-10', '03:14:44', '1024', '768', '173', '291', '9', '1IN, '18.975', '72.8258\n'
30,22,32,34,35,'2016-03-10', '04:44:15', '1366', '768', '14', '214', '13', '9IN, '20.0', '77.0\n'
15,6,30,23,47,'2016-03-10', '04:58:38', '1440', '900', '307', '306', '7', '6IN, '20.0', '77.0\n'
37,28,37,35,30,'2016-03-10', '05:54:33', '1366', '768', '32', '277', '18', '1IN, '18.975', '72.8258\n'
31,29,38,36,39,'2016-03-10', '06:28:41', '1366', '768', '27', '231', '11', '1IN, '12.9833', '77.5833\n'
17,14,34,22,29,'2016-03-10', '08:11:47', '1680', '1050', '5', '390', '35', '1IN, '22.5697', '88.3697\n'
19,42,31,20,34,'2016-03-10', '09:56:32', '360', '640', '21', '217', '8', '1IN, '28.6667', '77.2167\n'
26,28,36,24,28,'2016-03-10', '10:36:51', '375', '667', '79', '270', '26', '1IN, '20.0', '77.0\n'
21,11,23,22,22,'2016-03-10', '11:33:51', '360', '640', '66', '239', '191', '1IN, '20.0', '77.0\n'
40,33,37,41,42,'2016-03-10', '17:06:12', '360', '640', '41', '496', '18', '1IN, '20.0', '77.0\n'
30,17,41,40,40,'2016-03-10', '18:18:16', '480', '800', '8', '183', '16', '1IN, '28.6667', '77.2167\n'
27,13,33,20,37,'2016-03-10', '19:19:41', '360', '640', '12', '226', '8', '1IN, '20.0', '77.0\n'
36,19,24,18,41,'2016-03-10', '19:21:18', '360', '640', '19', '290', '14', '1IN, '19.15', '72.9333\n'
33,35,32,38,26,'2016-03-10', '20:51:48', '1440', '900', '40', '359', '21', '2IN, '20.0', '77.0\n'
33,10,26,30,35,'2016-03-10', '20:56:40', '1024', '768', '96', '441', '30', '4IN, '20.0', '77.0\n'
30,19,38,33,30,'2016-03-10', '21:11:42', '360', '640', '17', '266', '16', '1IN, '28.6667', '77.2167\n'
26,23,34,29,32,'2016-03-11', '01:12:28', '1366', '768', '3', '195', '15', '4IN, '12.9833', '77.5833\n'
12,35,29,24,38,'2016-03-11', '01:13:25', '1440', '900', '4', '202', '10', '4IN, '12.9833', '77.5833\n'
17,14,35,33,34,'2016-03-11', '01:15:10', '320', '534', '10', '563', '21', '1IN, '18.5333', '73.8667\n'
21,16,28,30,45,'2016-03-11', '01:30:51', '1536', '864', '15', '199', '11', '1IN, '17.3753', '78.4744\n'
24,33,24,27,15,'2016-03-11', '01:45:52', '1360', '768', '4', '461', '15', '1IN, '20.0', '77.0\n'
29,26,33,34,28,'2016-03-11', '01:53:32', '1366', '768', '12', '257', '42', '1IN, '13.0833', '80.2833\n'
33,23,33,33,32,'2016-03-11', '02:26:09', '1366', '768', '55', '2106', '22', '1IN, '20.0', '77.0\n'
26,20,32,29,31,'2016-03-11', '04:06:19', '1472', '828', '9', '240', '25', '1IN, '17.3753', '78.4744\n'
19,9,22,28,41,'2016-03-11', '05:23:17', '360', '640', '22', '192', '6', '1IN, '20.0', '77.0\n'
25,40,20,20,15,'2016-03-11', '06:00:22', '1024', '819', '3', '79', '82', '2IN, '28.6', '77.2\n'
26,21,33,31,38,'2016-03-11', '06:32:41', '320', '534', '116', '677', '21', '1IN, '20.0', '77.0\n'
30,13,36,36,32,'2016-03-11', '07:27:10', '1366', '768', '29', '225', '14', '1IN, '20.0', '77.0\n'
34,24,34,28,34,'2016-03-11', '09:55:36', '1920', '1080', '17', '1749', '19', '1IN, '22.5697', '88.3697\n'
